Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Filtre Kontrolu,Chrome 87.0.4280.88,,,2020-12-17 23:06:00,2020-12-17 23:06:32,"31,963s",FAILED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Filtre Kontrolu,Chrome 87.0.4280.88,,,2020-12-17 23:06:00,2020-12-17 23:06:32,"31,656s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 87.0.4280.88,,,2020-12-17 23:06:00,2020-12-17 23:06:09,"8,979s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Filtre Kontrolu.feature"")",Chrome 87.0.4280.88,,,2020-12-17 23:06:09,2020-12-17 23:06:32,"22,401s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 87.0.4280.88,,,2020-12-17 23:06:32,2020-12-17 23:06:32,"0,001s",PASSED
