Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
deneme1,Chrome 91.0.4472.114,,,2021-06-28 10:01:08,2021-06-28 10:03:09,"2m - 0,730s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/Gelen Kutusu/Faturalar/Pdf Goster-Indir,Chrome 91.0.4472.114,,,2021-06-28 10:01:09,2021-06-28 10:01:50,"40,911s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:01:09,2021-06-28 10:01:15,"6,004s",PASSED
"runFeatureFile(""Include/features/e-Fatura/Gelen Kutusu/Faturalar/PDF Goster-Indir.feature"")",Chrome 91.0.4472.114,,,2021-06-28 10:01:15,2021-06-28 10:01:49,"33,698s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:01:49,2021-06-28 10:01:50,"0,835s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/Gelen Kutusu/Uygulama Yanitlari/UBL-Goster-Indir,Chrome 91.0.4472.114,,,2021-06-28 10:01:50,2021-06-28 10:02:20,"29,810s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:01:50,2021-06-28 10:01:52,"2,514s",PASSED
"runFeatureFile(""Include/features/e-Fatura/Gelen Kutusu/Uygulama Yanitlari/UBL-Goster-Indir.feature"")",Chrome 91.0.4472.114,,,2021-06-28 10:01:53,2021-06-28 10:02:19,"26,220s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:02:19,2021-06-28 10:02:20,"0,731s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuzlari/UBL,Chrome 91.0.4472.114,,,2021-06-28 10:02:20,2021-06-28 10:02:44,"24,419s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:02:20,2021-06-28 10:02:23,"3,259s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuzlari/UBL.feature"")",Chrome 91.0.4472.114,,,2021-06-28 10:02:23,2021-06-28 10:02:43,"20,139s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:02:43,2021-06-28 10:02:44,"0,700s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzlari/UBL,Chrome 91.0.4472.114,,,2021-06-28 10:02:44,2021-06-28 10:03:09,"24,963s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:02:44,2021-06-28 10:02:48,"3,677s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzlari/UBL.feature"")",Chrome 91.0.4472.114,,,2021-06-28 10:02:48,2021-06-28 10:03:08,"20,258s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:03:08,2021-06-28 10:03:09,"0,717s",PASSED
