Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
deneme2,Chrome 91.0.4472.114,,,2021-06-28 10:01:08,2021-06-28 10:03:12,"2m - 3,856s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Arsiv/e-Arsiv Hareketleri/e-Arsiv Faturalari/UBL,Chrome 91.0.4472.114,,,2021-06-28 10:01:09,2021-06-28 10:01:46,"36,586s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:01:09,2021-06-28 10:01:16,"6,728s",PASSED
"runFeatureFile(""Include/features/e-Arsiv/e-Arsiv Hareketleri/e-Arsiv Faturalari/UBL.feature"")",Chrome 91.0.4472.114,,,2021-06-28 10:01:16,2021-06-28 10:01:45,"28,774s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:01:45,2021-06-28 10:01:46,"0,719s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/UBL-Goster-Indir,Chrome 91.0.4472.114,,,2021-06-28 10:01:46,2021-06-28 10:02:16,"30,577s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:01:46,2021-06-28 10:01:48,"2,482s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/UBL-Goster-Indir.feature"")",Chrome 91.0.4472.114,,,2021-06-28 10:01:48,2021-06-28 10:02:15,"26,940s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:02:15,2021-06-28 10:02:16,"0,728s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Giden Kutusu/Irsaliyeler/UBL-Goster-Indir,Chrome 91.0.4472.114,,,2021-06-28 10:02:16,2021-06-28 10:02:43,"27,119s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:02:16,2021-06-28 10:02:19,"3,178s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Giden Kutusu/Irsaliyeler/UBL-Goster-Indir.feature"")",Chrome 91.0.4472.114,,,2021-06-28 10:02:20,2021-06-28 10:02:42,"22,949s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:02:43,2021-06-28 10:02:43,"0,731s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Giden Kutusu/Irsaliye Yanitlari/UBL-Goster-Indir,Chrome 91.0.4472.114,,,2021-06-28 10:02:43,2021-06-28 10:03:12,"28,927s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:02:43,2021-06-28 10:02:46,"2,586s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Giden Kutusu/Irsaliye Yanitlari/UBL-Goster-Indir.feature"")",Chrome 91.0.4472.114,,,2021-06-28 10:02:46,2021-06-28 10:03:11,"25,047s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 91.0.4472.114,,,2021-06-28 10:03:11,2021-06-28 10:03:12,"0,780s",PASSED
