Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Buton Kontrolu,Chrome 88.0.4324.104,,,2021-01-29 09:37:29,2021-01-29 09:37:35,"6,012s",FAILED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Buton Kontrolu,Chrome 88.0.4324.104,,,2021-01-29 09:37:29,2021-01-29 09:37:35,"5,812s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 88.0.4324.104,,,2021-01-29 09:37:29,2021-01-29 09:37:33,"4,238s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Buton Kontrolu.feature"")",Chrome 88.0.4324.104,,,2021-01-29 09:37:33,2021-01-29 09:37:34,"0,726s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 88.0.4324.104,,,2021-01-29 09:37:34,2021-01-29 09:37:35,"0,671s",PASSED
