Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
deneme2,Chrome 91.0.4472.114,,,2021-06-27 22:26:52,2021-06-27 22:28:04,"1m - 12,092s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Arsiv/e-Arsiv Hareketleri/e-Arsiv Faturalari/UBL,Chrome 91.0.4472.114,,,2021-06-27 22:26:52,2021-06-27 22:27:32,"39,688s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 91.0.4472.114,,,2021-06-27 22:26:52,2021-06-27 22:26:59,"6,912s",PASSED
"runFeatureFile(""Include/features/e-Arsiv/e-Arsiv Hareketleri/e-Arsiv Faturalari/UBL.feature"")",Chrome 91.0.4472.114,,,2021-06-27 22:27:00,2021-06-27 22:27:31,"31,537s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 91.0.4472.114,,,2021-06-27 22:27:31,2021-06-27 22:27:32,"0,716s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/UBL-Goster-Indir,Chrome 91.0.4472.114,,,2021-06-27 22:27:32,2021-06-27 22:28:04,"31,890s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 91.0.4472.114,,,2021-06-27 22:27:32,2021-06-27 22:27:34,"2,442s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/UBL-Goster-Indir.feature"")",Chrome 91.0.4472.114,,,2021-06-27 22:27:35,2021-06-27 22:28:03,"28,318s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 91.0.4472.114,,,2021-06-27 22:28:03,2021-06-27 22:28:04,"0,733s",PASSED
